OBJECTID,EY_PLA_ID,EMISSIONSYEAR,EM_LIM_CPL_ID,CPL_SHORT_NAME,CPL_POT_ID,CPL_PERMIT_FEE_IND,CPL_ON_EMIS_STATEMENT,CPL_SORT_ORDER,EMISSION_VALUE,TOT_WO_INSIG_VALUE
1,41892,2019,1,NOX,CAP,Y,Y,1,3.395,3.395
2,41892,2019,175,PM,N,N,N,4,0.9442967,0.9442967
3,41892,2019,176,VOC,CAP,Y,Y,1,3.156725,3.156725
4,41892,2019,2,SO2,CAP,Y,Y,1,0.10185,0.10185
5,41892,2019,3,CO,CAP,N,Y,1,2.8518,2.8518
6,41892,2019,5,PM 10,CAP,Y,Y,1,4.4929412092,4.4929412092
7,41892,2019,6,PM 2.5,CAP,N,Y,1,4.6470932,4.6470932
8,40512,2019,1,NOX,CAP,Y,Y,1,1.617665,1.617665
9,40512,2019,175,PM,N,N,N,4,0.000735,0.000735
10,40512,2019,176,VOC,CAP,Y,Y,1,0.026035,0.026035
11,40512,2019,179,TNMOC,N,Y,Y,4,0,0
12,40512,2019,2,SO2,CAP,Y,Y,1,0.357345,0.357345
13,40512,2019,3,CO,CAP,N,Y,1,0.19412,0.19412
14,40512,2019,5,PM 10,CAP,Y,Y,1,0.01017,0.01017
15,40512,2019,6,PM 2.5,CAP,N,Y,1,0.01017,0.01017
16,43292,2019,176,VOC,CAP,Y,Y,1,0.19,0.19
17,43292,2019,84,FORM,HAPV,N,N,3,0,0
18,43292,2019,99,MTHOL,HAPV,N,N,3,0.10253255,0.10253255
19,31430,2019,1,NOX,CAP,Y,Y,1,0.1548025,0.1548025
20,31430,2019,175,PM,N,N,N,4,0.1710975,0.1710975
21,31430,2019,176,VOC,CAP,Y,Y,1,0.0211835,0.0211835
22,31430,2019,2,SO2,CAP,Y,Y,1,0.4142189,0.4142189
23,31430,2019,3,CO,CAP,N,Y,1,0.179245,0.179245
24,31430,2019,4,PB,CAP,Y,Y,1,0.000211835,0.000211835
25,31430,2019,5,PM 10,CAP,Y,Y,1,0.0707203,0.0707203
26,41904,2019,1,NOX,CAP,Y,Y,1,21.13735,21.13735
27,41904,2019,175,PM,N,N,N,4,1.6848,1.6848
28,41904,2019,176,VOC,CAP,Y,Y,1,1.942635,1.942635
29,41904,2019,2,SO2,CAP,Y,Y,1,0.0791181,0.0791181
30,41904,2019,3,CO,CAP,N,Y,1,3.11503,3.11503
31,41904,2019,5,PM 10,CAP,Y,Y,1,1.457595,1.457595
32,41904,2019,6,PM 2.5,CAP,N,Y,1,0.966195,0.966195
33,42087,2019,1,NOX,CAP,Y,Y,1,6.82865,6.82865
34,42087,2019,176,VOC,CAP,Y,Y,1,0.465105,0.465105
35,42087,2019,2,SO2,CAP,Y,Y,1,0.069541555,0.069541555
36,42087,2019,3,CO,CAP,N,Y,1,2.544125,2.544125
37,42087,2019,5,PM 10,CAP,Y,Y,1,0.39628,0.39628
38,42087,2019,6,PM 2.5,CAP,N,Y,1,0.39628,0.39628
39,43866,2019,175,PM,N,N,N,4,0.01045,0.01045
40,42644,2019,1,NOX,CAP,Y,Y,1,20.75543,20.75543
41,42644,2019,176,VOC,CAP,Y,Y,1,0.48327,0.48327
42,42644,2019,2,SO2,CAP,Y,Y,1,0.233145,0.233145
43,42644,2019,3,CO,CAP,N,Y,1,2.97725,2.97725
44,42644,2019,5,PM 10,CAP,Y,Y,1,2.9195042,2.9195042
